animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type
tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3
gnat,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2
sparrow,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
slowworm,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3
wasp,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6
rhea,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,2
wasp,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6
scorpion,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,7
slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2
puma,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3
wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5
stingray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,4
penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2
wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2
hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,-1
tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,-1
antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,-1
vampire,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,-1
