animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type
hawk,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
goat,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
flamingo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2
flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
hawk,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
housefly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4
cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
moth,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
gull,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,-1
slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-1
rhea,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,-1
hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,-1
